cout_operation,off_market,rendement_brut,apport_banque_taux,taux_interet,annees_emprunt,loyer_mensuel,ecart_au_loyer_moyen,cash_flow_annuel,cash_flow_annuel_apport_total_inclu,doit_payer_impot,loyer_annuel_percu,charges_annuel,taux_occupation,apport_total,ecart_prix_m2_prix_moyen_avant,ecart_prix_m2_prix_moyen_apres,prix_m2_avant,prix_m2_apres,ecart_aux_charges_copro_moyen
75711.875,True,0.12426056018293037,0.1,0.015,20,784.0000000000001,0.6000000000000001,48.64772500000072,-819.8210249999993,False,6585.600000000001,6536.952275000001,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.015,20,784.0000000000001,0.6000000000000001,48.64772500000072,-1137.8108999999995,False,6585.600000000001,6536.952275000001,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12426056018293037,0.1,0.016,20,784.0000000000001,0.6000000000000001,45.73060000000078,-822.7381499999992,False,6585.600000000001,6539.8694000000005,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.016,20,784.0000000000001,0.6000000000000001,45.73060000000078,-1140.7280249999994,False,6585.600000000001,6539.8694000000005,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12426056018293037,0.1,0.017,20,784.0000000000001,0.6000000000000001,42.813475000000835,-825.6552749999992,False,6585.600000000001,6542.786525,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.017,20,784.0000000000001,0.6000000000000001,42.813475000000835,-1143.6451499999994,False,6585.600000000001,6542.786525,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12426056018293037,0.1,0.018000000000000002,20,784.0000000000001,0.6000000000000001,39.89635000000089,-828.5723999999991,False,6585.600000000001,6545.70365,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.018000000000000002,20,784.0000000000001,0.6000000000000001,39.89635000000089,-1146.5622749999993,False,6585.600000000001,6545.70365,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
75711.875,True,0.12426056018293037,0.1,0.019000000000000003,20,784.0000000000001,0.6000000000000001,36.97922500000095,-831.489524999999,False,6585.600000000001,6548.620775,0.7,17369.375,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
82071.6725,False,0.11463151308388411,0.1,0.019000000000000003,20,784.0000000000001,0.6000000000000001,36.97922500000095,-1149.4793999999993,False,6585.600000000001,6548.620775,0.7,23729.1725,-0.5,-0.3070429329474192,1036.5,1436.5,-0.3
