rendement,apport_perc,loyer_mensuel,cash_flow_annuel,doit_payer_impot,revenus_annuel,couts_annuel,taux_occupation,cash_a_sortir
0.05,0.2,347.964,-3371.5771559999994,False,4175.568,7547.145156,0.5,51822.72
0.055,0.2,382.76040000000006,-4585.5940716,False,4593.1248000000005,9178.7188716,0.5,51822.72
0.055,0.2,382.76040000000006,-3026.3620715999996,False,4593.1248000000005,7619.4868716,0.5,51822.72
0.06,0.2,417.5568,-4240.3789872,False,5010.6816,9251.0605872,0.5,51822.72
0.06,0.2,417.5568,-2681.1469872,False,5010.6816,7691.8285872,0.5,51822.72
0.065,0.2,452.3532,-3895.163902800001,False,5428.2384,9323.402302800001,0.5,51822.72
0.065,0.2,452.3532,-2335.9319028,False,5428.2384,7764.1703028,0.5,51822.72
0.07,0.2,487.1496,-3549.9488184,False,5845.7952000000005,9395.7440184,0.5,51822.72
0.07,0.2,487.1496,-1990.7168183999993,False,5845.7952000000005,7836.5120184,0.5,51822.72
0.035,0.25,487.1496,-3544.188818399998,False,5845.7952000000005,9389.984018399999,1.0,59022.72
0.035,0.25,487.1496,-1986.108818399999,False,5845.7952000000005,7831.9040184,1.0,59022.72
0.045,0.25,626.3352,-2163.3284808000008,False,7516.0224,9679.3508808,1.0,59022.72
0.045,0.25,626.3352,-605.2484807999999,False,7516.0224,8121.2708808,1.0,59022.72
0.05,0.25,695.928,-1472.8983119999994,False,8351.136,9824.034312,1.0,59022.72
0.05,0.25,695.928,85.18168800000058,False,8351.136,8265.954312,1.0,59022.72
0.055,0.25,765.5208000000001,-782.4681431999979,False,9186.249600000001,9968.717743199999,1.0,59022.72
0.055,0.25,765.5208000000001,775.6118568000002,False,9186.249600000001,8410.6377432,1.0,59022.72
0.06,0.25,835.1136,-92.03797440000017,False,10021.3632,10113.4011744,1.0,59022.72
0.06,0.25,835.1136,1466.0420255999998,False,10021.3632,8555.3211744,1.0,59022.72
0.065,0.25,904.7064,598.3921944000012,False,10856.4768,10258.0846056,1.0,59022.72
0.065,0.25,904.7064,2156.472194400001,False,10856.4768,8700.0046056,1.0,59022.72
0.07,0.25,974.2992,1288.8223632000008,False,11691.590400000001,10402.7680368,1.0,59022.72
0.07,0.25,974.2992,2846.9023632000008,False,11691.590400000001,8844.6880368,1.0,59022.72
0.035,0.25,365.36220000000003,-4752.4416138,False,4384.3464,9136.7880138,0.75,59022.72
0.035,0.25,365.36220000000003,-3194.361613799999,False,4384.3464,7578.708013799999,0.75,59022.72
0.045,0.25,469.75140000000005,-3716.7963605999985,False,5637.0168,9353.813160599999,0.75,59022.72
0.045,0.25,469.75140000000005,-2158.7163605999995,False,5637.0168,7795.7331606,0.75,59022.72
0.05,0.25,521.946,-3198.9737339999992,False,6263.352000000001,9462.325734,0.75,59022.72
0.05,0.25,521.946,-1640.8937339999993,False,6263.352000000001,7904.245734,0.75,59022.72
0.055,0.25,574.1406000000001,-2681.151107399999,False,6889.6872,9570.8383074,0.75,59022.72
0.055,0.25,574.1406000000001,-1123.0711074,False,6889.6872,8012.7583074,0.75,59022.72
0.06,0.25,626.3352,-2163.3284808000008,False,7516.0224,9679.3508808,0.75,59022.72
0.06,0.25,626.3352,-605.2484807999999,False,7516.0224,8121.2708808,0.75,59022.72
0.065,0.25,678.5298000000001,-1645.5058541999988,False,8142.357600000001,9787.8634542,0.75,59022.72
0.065,0.25,678.5298000000001,-87.42585419999887,False,8142.357600000001,8229.7834542,0.75,59022.72
0.07,0.25,730.7244000000001,-1127.6832275999986,False,8768.6928,9896.3760276,0.75,59022.72
0.07,0.25,730.7244000000001,430.39677239999946,False,8768.6928,8338.296027600001,0.75,59022.72
0.035,0.25,243.5748,-5960.694409199999,False,2922.8976000000002,8883.5920092,0.5,59022.72
0.035,0.25,243.5748,-4402.6144091999995,False,2922.8976000000002,7325.5120092,0.5,59022.72
0.045,0.25,313.1676,-5270.264240400001,False,3758.0112,9028.2754404,0.5,59022.72
0.045,0.25,313.1676,-3712.1842404,False,3758.0112,7470.1954404,0.5,59022.72
0.05,0.25,347.964,-4925.049156,False,4175.568,9100.617156,0.5,59022.72
0.05,0.25,347.964,-3366.969155999999,False,4175.568,7542.537155999999,0.5,59022.72
0.055,0.25,382.76040000000006,-4579.834071599999,False,4593.1248000000005,9172.9588716,0.5,59022.72
0.055,0.25,382.76040000000006,-3021.7540715999994,False,4593.1248000000005,7614.8788716,0.5,59022.72
0.06,0.25,417.5568,-4234.6189871999995,False,5010.6816,9245.3005872,0.5,59022.72
0.06,0.25,417.5568,-2676.5389871999996,False,5010.6816,7687.2205871999995,0.5,59022.72
0.065,0.25,452.3532,-3889.403902799999,False,5428.2384,9317.642302799999,0.5,59022.72
0.065,0.25,452.3532,-2331.3239028,False,5428.2384,7759.5623028,0.5,59022.72
0.07,0.25,487.1496,-3544.188818399998,False,5845.7952000000005,9389.984018399999,0.5,59022.72
0.07,0.25,487.1496,-1986.108818399999,False,5845.7952000000005,7831.9040184,0.5,59022.72
